TenA,TenB,DiemA,DiemB,Lco,HR1A,HR2A,HR1B,HR2B,AvgA,AvgB
,,,,,,,,,,
CHÍ LONG (Chí Long),THÀNH KHÁNH (Thanh Tự),17,23,15,5,5,6,4,1.133,1.533
CHÍ LONG (Chí Long),THÀNH KHÁNH (Thanh Tự),17,23,15,5,5,6,4,1.133,1.533
CHÍ LONG (Chí Long),THÀNH KHÁNH (Thanh Tự),17,23,15,5,5,6,4,1.133,1.533
,,,,,,,,,,
CHÍ LONG (Chí Long),THÀNH KHÁNH (Thanh Tự),17,23,15,5,5,6,4,1.133,1.533
CHÍ LONG (Chí Long),THÀNH KHÁNH (Thanh Tự),17,23,15,5,5,6,4,1.133,1.533
